Month,alt_height_slope,alt_type,side_andes,height,mean.value,sd,type,alt.slope,data.type,mean.value.type,date.wc.plot
m02,high_a_east,high,east,a,19.5,na,tmean,high_east,worldclim,monthly.yearly,01/02/2018
m02,low_a_east,low,east,a,23.8,na,tmean,low_east,worldclim,monthly.yearly,01/02/2018
m02,high_a_west,high,west,a,20.4,na,tmean,high_west,worldclim,monthly.yearly,01/02/2018
m02,low_a_west,low,west,a,23.5,na,tmean,low_west,worldclim,monthly.yearly,01/02/2018
m03,high_a_east,high,east,a,14.2,na,tmin,high_east,worldclim,monthly.yearly,01/03/2017
m03,low_a_east,low,east,a,18.7,na,tmin,low_east,worldclim,monthly.yearly,01/03/2017
m03,high_a_west,high,west,a,16.2,na,tmin,high_west,worldclim,monthly.yearly,01/03/2017
m03,low_a_west,low,west,a,19.4,na,tmin,low_west,worldclim,monthly.yearly,01/03/2017
m03,high_a_east,high,east,a,24.7,na,tmax,high_east,worldclim,monthly.yearly,01/03/2017
m03,low_a_east,low,east,a,28.6,na,tmax,low_east,worldclim,monthly.yearly,01/03/2017
m03,high_a_west,high,west,a,25.1,na,tmax,high_west,worldclim,monthly.yearly,01/03/2017
m03,low_a_west,low,west,a,28.4,na,tmax,low_west,worldclim,monthly.yearly,01/03/2017
m03,high_a_east,high,east,a,19.4,na,tmean,high_east,worldclim,monthly.yearly,01/03/2017
m03,low_a_east,low,east,a,23.6,na,tmean,low_east,worldclim,monthly.yearly,01/03/2017
m03,high_a_west,high,west,a,20.6,na,tmean,high_west,worldclim,monthly.yearly,01/03/2017
m03,low_a_west,low,west,a,23.9,na,tmean,low_west,worldclim,monthly.yearly,01/03/2017
m04,high_a_east,high,east,a,14.3,na,tmin,high_east,worldclim,monthly.yearly,01/04/2017
m04,low_a_east,low,east,a,18.8,na,tmin,low_east,worldclim,monthly.yearly,01/04/2017
m04,high_a_west,high,west,a,16.3,na,tmin,high_west,worldclim,monthly.yearly,01/04/2017
m04,low_a_west,low,west,a,19.5,na,tmin,low_west,worldclim,monthly.yearly,01/04/2017
m04,high_a_east,high,east,a,24.6,na,tmax,high_east,worldclim,monthly.yearly,01/04/2017
m04,low_a_east,low,east,a,28.3,na,tmax,low_east,worldclim,monthly.yearly,01/04/2017
m04,high_a_west,high,west,a,25.4,na,tmax,high_west,worldclim,monthly.yearly,01/04/2017
m04,low_a_west,low,west,a,28.5,na,tmax,low_west,worldclim,monthly.yearly,01/04/2017
m04,high_a_east,high,east,a,19.4,na,tmean,high_east,worldclim,monthly.yearly,01/04/2017
m04,low_a_east,low,east,a,23.5,na,tmean,low_east,worldclim,monthly.yearly,01/04/2017
m04,high_a_west,high,west,a,20.8,na,tmean,high_west,worldclim,monthly.yearly,01/04/2017
m04,low_a_west,low,west,a,24,na,tmean,low_west,worldclim,monthly.yearly,01/04/2017
m05,high_a_east,high,east,a,14.2,na,tmin,high_east,worldclim,monthly.yearly,01/05/2017
m05,low_a_east,low,east,a,18.8,na,tmin,low_east,worldclim,monthly.yearly,01/05/2017
m05,high_a_west,high,west,a,16.2,na,tmin,high_west,worldclim,monthly.yearly,01/05/2017
m05,low_a_west,low,west,a,19.4,na,tmin,low_west,worldclim,monthly.yearly,01/05/2017
m05,high_a_east,high,east,a,24.6,na,tmax,high_east,worldclim,monthly.yearly,01/05/2017
m05,low_a_east,low,east,a,28,na,tmax,low_east,worldclim,monthly.yearly,01/05/2017
m05,high_a_west,high,west,a,25.2,na,tmax,high_west,worldclim,monthly.yearly,01/05/2017
m05,low_a_west,low,west,a,28,na,tmax,low_west,worldclim,monthly.yearly,01/05/2017
m05,high_a_east,high,east,a,19.4,na,tmean,high_east,worldclim,monthly.yearly,01/05/2017
m05,low_a_east,low,east,a,23.4,na,tmean,low_east,worldclim,monthly.yearly,01/05/2017
m05,high_a_west,high,west,a,20.7,na,tmean,high_west,worldclim,monthly.yearly,01/05/2017
m05,low_a_west,low,west,a,23.7,na,tmean,low_west,worldclim,monthly.yearly,01/05/2017
m06,high_a_east,high,east,a,13.7,na,tmin,high_east,worldclim,monthly.yearly,01/06/2017
m06,low_a_east,low,east,a,18.4,na,tmin,low_east,worldclim,monthly.yearly,01/06/2017
m06,high_a_west,high,west,a,15.7,na,tmin,high_west,worldclim,monthly.yearly,01/06/2017
m06,low_a_west,low,west,a,18.9,na,tmin,low_west,worldclim,monthly.yearly,01/06/2017
m06,high_a_east,high,east,a,23.9,na,tmax,high_east,worldclim,monthly.yearly,01/06/2017
m06,low_a_east,low,east,a,27.5,na,tmax,low_east,worldclim,monthly.yearly,01/06/2017
m06,high_a_west,high,west,a,24.8,na,tmax,high_west,worldclim,monthly.yearly,01/06/2017
m06,low_a_west,low,west,a,27.1,na,tmax,low_west,worldclim,monthly.yearly,01/06/2017
m06,high_a_east,high,east,a,18.8,na,tmean,high_east,worldclim,monthly.yearly,01/06/2017
m06,low_a_east,low,east,a,22.9,na,tmean,low_east,worldclim,monthly.yearly,01/06/2017
m06,high_a_west,high,west,a,20.2,na,tmean,high_west,worldclim,monthly.yearly,01/06/2017
m06,low_a_west,low,west,a,23,na,tmean,low_west,worldclim,monthly.yearly,01/06/2017
m07,high_a_east,high,east,a,13.4,na,tmin,high_east,worldclim,monthly.yearly,01/07/2017
m07,low_a_east,low,east,a,18.2,na,tmin,low_east,worldclim,monthly.yearly,01/07/2017
m07,high_a_west,high,west,a,15.1,na,tmin,high_west,worldclim,monthly.yearly,01/07/2017
m07,low_a_west,low,west,a,18.3,na,tmin,low_west,worldclim,monthly.yearly,01/07/2017
m07,high_a_east,high,east,a,23.7,na,tmax,high_east,worldclim,monthly.yearly,01/07/2017
m07,low_a_east,low,east,a,27.5,na,tmax,low_east,worldclim,monthly.yearly,01/07/2017
m07,high_a_west,high,west,a,24.8,na,tmax,high_west,worldclim,monthly.yearly,01/07/2017
m07,low_a_west,low,west,a,27,na,tmax,low_west,worldclim,monthly.yearly,01/07/2017
m07,high_a_east,high,east,a,18.5,na,tmean,high_east,worldclim,monthly.yearly,01/07/2017
m07,low_a_east,low,east,a,22.8,na,tmean,low_east,worldclim,monthly.yearly,01/07/2017
m07,high_a_west,high,west,a,19.9,na,tmean,high_west,worldclim,monthly.yearly,01/07/2017
m07,low_a_west,low,west,a,22.6,na,tmean,low_west,worldclim,monthly.yearly,01/07/2017
m08,high_a_east,high,east,a,13.2,na,tmin,high_east,worldclim,monthly.yearly,01/08/2017
m08,low_a_east,low,east,a,18.2,na,tmin,low_east,worldclim,monthly.yearly,01/08/2017
m08,high_a_west,high,west,a,14.9,na,tmin,high_west,worldclim,monthly.yearly,01/08/2017
m08,low_a_west,low,west,a,18.1,na,tmin,low_west,worldclim,monthly.yearly,01/08/2017
m08,high_a_east,high,east,a,24.5,na,tmax,high_east,worldclim,monthly.yearly,01/08/2017
m08,low_a_east,low,east,a,28.6,na,tmax,low_east,worldclim,monthly.yearly,01/08/2017
m08,high_a_west,high,west,a,25.1,na,tmax,high_west,worldclim,monthly.yearly,01/08/2017
m08,low_a_west,low,west,a,27.1,na,tmax,low_west,worldclim,monthly.yearly,01/08/2017
m08,high_a_east,high,east,a,18.8,na,tmean,high_east,worldclim,monthly.yearly,01/08/2017
m08,low_a_east,low,east,a,23.4,na,tmean,low_east,worldclim,monthly.yearly,01/08/2017
m08,high_a_west,high,west,a,20,na,tmean,high_west,worldclim,monthly.yearly,01/08/2017
m08,low_a_west,low,west,a,22.6,na,tmean,low_west,worldclim,monthly.yearly,01/08/2017
m09,high_a_east,high,east,a,13.7,na,tmin,high_east,worldclim,monthly.yearly,01/09/2017
m09,low_a_east,low,east,a,18.6,na,tmin,low_east,worldclim,monthly.yearly,01/09/2017
m09,high_a_west,high,west,a,15.1,na,tmin,high_west,worldclim,monthly.yearly,01/09/2017
m09,low_a_west,low,west,a,18.2,na,tmin,low_west,worldclim,monthly.yearly,01/09/2017
m09,high_a_east,high,east,a,25.3,na,tmax,high_east,worldclim,monthly.yearly,01/09/2017
m09,low_a_east,low,east,a,29.3,na,tmax,low_east,worldclim,monthly.yearly,01/09/2017
m09,high_a_west,high,west,a,25,na,tmax,high_west,worldclim,monthly.yearly,01/09/2017
m09,low_a_west,low,west,a,27.1,na,tmax,low_west,worldclim,monthly.yearly,01/09/2017
m09,high_a_east,high,east,a,19.5,na,tmean,high_east,worldclim,monthly.yearly,01/09/2017
m09,low_a_east,low,east,a,23.9,na,tmean,low_east,worldclim,monthly.yearly,01/09/2017
m09,high_a_west,high,west,a,20,na,tmean,high_west,worldclim,monthly.yearly,01/09/2017
m09,low_a_west,low,west,a,22.6,na,tmean,low_west,worldclim,monthly.yearly,01/09/2017
m10,high_a_east,high,east,a,14.1,na,tmin,high_east,worldclim,monthly.yearly,01/10/2017
m10,low_a_east,low,east,a,18.8,na,tmin,low_east,worldclim,monthly.yearly,01/10/2017
m10,high_a_west,high,west,a,15.5,na,tmin,high_west,worldclim,monthly.yearly,01/10/2017
m10,low_a_west,low,west,a,18.5,na,tmin,low_west,worldclim,monthly.yearly,01/10/2017
m10,high_a_east,high,east,a,25.5,na,tmax,high_east,worldclim,monthly.yearly,01/10/2017
m10,low_a_east,low,east,a,29.3,na,tmax,low_east,worldclim,monthly.yearly,01/10/2017
m10,high_a_west,high,west,a,24.5,na,tmax,high_west,worldclim,monthly.yearly,01/10/2017
m10,low_a_west,low,west,a,26.9,na,tmax,low_west,worldclim,monthly.yearly,01/10/2017
m10,high_a_east,high,east,a,19.8,na,tmean,high_east,worldclim,monthly.yearly,01/10/2017
m10,low_a_east,low,east,a,24,na,tmean,low_east,worldclim,monthly.yearly,01/10/2017
m10,high_a_west,high,west,a,20,na,tmean,high_west,worldclim,monthly.yearly,01/10/2017
m10,low_a_west,low,west,a,22.7,na,tmean,low_west,worldclim,monthly.yearly,01/10/2017
m11,high_a_east,high,east,a,14.3,na,tmin,high_east,worldclim,monthly.yearly,01/11/2017
m11,low_a_east,low,east,a,19,na,tmin,low_east,worldclim,monthly.yearly,01/11/2017
m11,high_a_west,high,west,a,15.2,na,tmin,high_west,worldclim,monthly.yearly,01/11/2017
m11,low_a_west,low,west,a,18.1,na,tmin,low_west,worldclim,monthly.yearly,01/11/2017
m11,high_a_east,high,east,a,25.5,na,tmax,high_east,worldclim,monthly.yearly,01/11/2017
m11,low_a_east,low,east,a,29.1,na,tmax,low_east,worldclim,monthly.yearly,01/11/2017
m11,high_a_west,high,west,a,24.1,na,tmax,high_west,worldclim,monthly.yearly,01/11/2017
m11,low_a_west,low,west,a,26.6,na,tmax,low_west,worldclim,monthly.yearly,01/11/2017
m11,high_a_east,high,east,a,19.9,na,tmean,high_east,worldclim,monthly.yearly,01/11/2017
m11,low_a_east,low,east,a,24,na,tmean,low_east,worldclim,monthly.yearly,01/11/2017
m11,high_a_west,high,west,a,19.6,na,tmean,high_west,worldclim,monthly.yearly,01/11/2017
m11,low_a_west,low,west,a,22.3,na,tmean,low_west,worldclim,monthly.yearly,01/11/2017
m12,high_a_east,high,east,a,14.1,na,tmin,high_east,worldclim,monthly.yearly,01/12/2017
m12,low_a_east,low,east,a,19,na,tmin,low_east,worldclim,monthly.yearly,01/12/2017
m12,high_a_west,high,west,a,15.6,na,tmin,high_west,worldclim,monthly.yearly,01/12/2017
m12,low_a_west,low,west,a,18.7,na,tmin,low_west,worldclim,monthly.yearly,01/12/2017
m12,high_a_east,high,east,a,25.2,na,tmax,high_east,worldclim,monthly.yearly,01/12/2017
m12,low_a_east,low,east,a,29.3,na,tmax,low_east,worldclim,monthly.yearly,01/12/2017
m12,high_a_west,high,west,a,24.1,na,tmax,high_west,worldclim,monthly.yearly,01/12/2017
m12,low_a_west,low,west,a,26.9,na,tmax,low_west,worldclim,monthly.yearly,01/12/2017
m12,high_a_east,high,east,a,19.6,na,tmean,high_east,worldclim,monthly.yearly,01/12/2017
m12,low_a_east,low,east,a,24.1,na,tmean,low_east,worldclim,monthly.yearly,01/12/2017
m12,high_a_west,high,west,a,19.8,na,tmean,high_west,worldclim,monthly.yearly,01/12/2017
m12,low_a_west,low,west,a,22.8,na,tmean,low_west,worldclim,monthly.yearly,01/12/2017
